Error(micrometer), Surface0, Surface1, Surface2, Surface3,Surface4, Surface5, Surface6, Surface7, Surface8, totalStdDeviation, TotalMean,
CV0,1.2492, 3.3764, 3.4342, 3.0683, 3.4659, 1.7454, 3.3384, 2.2208, 1.5653, 1.079028844833374, 2.6070969104766846,
CV1,1.3704, 3.0291, 2.7704, 2.8851, 3.6234, 1.7366, 3.3850, 2.5947, 1.6272, 0.8585863709449768, 2.5580012798309326,
CV2,1.9686, 3.5559, 3.1049, 3.3253, 4.0908, 2.1701, 3.2815, 2.5559, 1.7184, 1.1466374397277832, 2.8634660243988037,
CV3,1.4160, 3.6218, 3.7504, 3.0818, 3.2299, 3.0091, 4.1740, 2.2340, 2.3493, 1.5479239225387573, 2.985156536102295,
CV4,1.2682, 3.3636, 2.8657, 2.8122, 3.2820, 1.9081, 2.6800, 1.7680, 1.5528, 0.9059679508209229, 2.3889760971069336,
CV5,1.2257, 3.3845, 2.8551, 2.5613, 3.0063, 1.6735, 3.1231, 1.7346, 1.5686, 0.8500159978866577, 2.3480730056762695,
CV6,1.1652, 3.2235, 2.7358, 2.5638, 3.0648, 1.7622, 3.3564, 2.0630, 1.4158, 0.8921743035316467, 2.372276782989502,
CV7,1.2542, 3.4781, 3.4206, 2.9755, 3.1930, 1.7084, 3.7216, 2.3180, 1.6960, 1.0411834716796875, 2.640597343444824,
CV8,1.3340, 3.1658, 2.8854, 2.6808, 2.8300, 1.5779, 3.3426, 2.3806, 1.7513, 0.814504086971283,  2.438716411590576,
CV9,1.6088, 3.1959, 3.4307, 3.3138, 3.7392, 1.5958, 3.0918, 1.9368, 1.5904, 0.9374165534973145, 2.611466884613037,
Avg,